,,,,,,"검사 및 시험 프로세스
(SP-02)",,,,,,,L-3100,,,,계측기 관리 규정,,,,,,,품질보증팀,,,,,,,,,,,,,,,,,L-1200,,,,지그관리 규정,,,,,,,생산기술팀,,,,
,,,,,,,,,,,,,L-3101,,,,측정시스템 평가 지침,,,,,,,품질보증팀,,,,,,,,,,,,,,,,,E-3100,,,,환경운영관리 규정,,,,,,,총  무  팀,,,,
,,,,,,"생산관리 프로세스
(CP-03)",,,,,,,L-1100,,,,설비관리규정,,,,,,,생산기술팀,,,,,,,,,,,,,,,,,E-3101,,,,작업환경관리 지침,,,,,,,총  무  팀,,,,
,,,,,,,,,,,,,M-4100,,,,3정 5S활동 규정,,,,,,,생  산  팀,,,,,,,,,,,,,,,,,E-3102,,,,소음진동 관리 지침,,,,,,,총  무  팀,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,품질 환경 매뉴얼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,문 서 번 호,,,,,,TPC-M-07,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"재,개정 일자",,,,,,2025년 01월 06일,,,,,,,,,,
,,,,,,,"0.7장 프로세스 매트릭스(조항)_1,2,3공장 공통",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,개 정 번 호,,,,,,7,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,페   이   지,,,,,,2/2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"※1공장, 2공장은 고객사로부터 발행된 CSR 없음",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N0,요구사항,,,,프로세스,,,,,,,관  련  규  정,,,,,,,,,,,책임부서,,,,,N0,요구사항,,,,프로세스,,,,,,,관  련  규  정,,,,,,,,,,,책임부서,,,,
,,,,,,,,,,,,,규정번호,,,,규  정  명  칭,,,,,,,,,,,,,,,,,,,,,,,,규정번호,,,,규  정  명  칭,,,,,,,,,,,
,8,운용,,,,"생산관리 프로세스
(CP-03)",,,,,,,E-3103,,,,폐기물 관리 지침,,,,,,,총  무  팀,,,,,10,개선,,,,"지속적 개선 프로세스
(SP-03)",,,,,,,B-2100,,,,시정조치 규정,,,,,,,품질보증팀,,,,
,,,,,,,,,,,,,E-3104,,,,유해화학물질 관리 지침,,,,,,,총  무  팀,,,,,,,,,,,,,,,,,B-2200,,,,지속적 개선업무 규정,,,,,,,품질보증팀,,,,
,,,,,,,,,,,,,E-3105,,,,대기관리 지침,,,,,,,총  무  팀,,,,,,,,,,,,,,,,,B-2300,,,,정성품질 운영 지침,,,,,,,품질보증팀,,,,
,8,운용,,,,"생산관리 프로세스
(CP-03)",,,,,,,E-3106,,,,수질관리 지침,,,,,,,총  무  팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,E-3107,,,,소방시설 관리 지침,,,,,,,총  무  팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
