,,,,작업장 안전관리 지침,,,,,,,D-2101,,,●,,○,,○,,○,,○,,○,,○,,,,,,관리도 운영 지침,,,,,,,L-4101,,,○,,○,,●,,○,,○,,○,,○,,
,,,,"안전보건,환경 법규관리 규정",,,,,,,E-2100,,,●,,○,,○,,○,,○,,○,,○,,,,,,공정능력 운영 지침,,,,,,,L-4102,,,○,,○,,●,,○,,○,,○,,○,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,품질 환경 매뉴얼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,문 서 번 호,,,,,,TPC-M-06,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"재,개정 일자",,,,,,2025년 01월 06일,,,,,,,,,,
,,,,,,,"0.6장 프로세스 매트릭스(부서)_1,2,3공장 공통",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,개 정 번 호,,,,,,7,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,페   이   지,,,,,,2/2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,프로세스,,,표 준 명,,,,,,,표준번호,,,부   서   명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,총무,,영업,,품질,,개발,,구매,,생산,,생기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"경영
관리",,,조직 및 업무분장 규정,,,,,,,A-1100,,,●,,○,,○,,○,,○,,○,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,회의운영 규정,,,,,,,A-3100,,,●,,○,,○,,○,,○,,○,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,사업계획 운영 규정,,,,,,,A-2100,,,●,,○,,○,,○,,○,,○,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,경영검토 규정,,,,,,,A-2200,,,●,,○,,○,,○,,○,,○,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,내부심사 규정,,,,,,,A-5100,,,○,,○,,●,,○,,○,,○,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,공정 및 제품 심사 규정,,,,,,,A-5200,,,,,○,,●,,○,,○,,○,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,의사소통 규정,,,,,,,A-3200,,,●,,○,,○,,○,,○,,○,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,문서 및 자료관리 규정,,,,,,,A-4100,,,○,,○,,●,,○,,○,,○,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,관리표준작성 지침,,,,,,,A-4101,,,○,,○,,●,,○,,○,,○,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,기록관리 규정,,,,,,,A-4200,,,●,,○,,○,,○,,○,,○,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,제안관리 규정,,,,,,,A-6100,,,○,,○,,●,,○,,○,,○,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,분임조관리 규정,,,,,,,A-6200,,,○,,○,,●,,○,,○,,○,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,윤리경영 규정,,,,,,,A-7100,,,●,,○,,○,,○,,○,,○,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,감시 및 측정관리 규정,,,,,,,E-5100,,,●,,○,,○,,○,,○,,●,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"리스크
관리",,,리스크 관리 규정,,,,,,,A-8100,,,○,,○,,●,,○,,○,,○,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,비상상태 대비 및 대응 규정,,,,,,,A-8101,,,●,,○,,○,,○,,○,,○,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,공정 FMEA작성 및 관리 지침,,,,,,,J-1101,,,,,○,,○,,●,,○,,○,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
