MILL_CD,MPNO,BOM_SEQ,CPNO,JUST_QTY,REAL_QTY,LOSS_RATE,START_DATE,STOP_DATE,WRK_GBN,OUT_GBN,USE_YN,ERP_UPD_TIME,ADDYMD,ADDMAN,UPDYMD,UPDMAN,ROUTCD,COST_YN,SCRAP,NATURAL,REPLACE_YN,REPLACE_PNO,SKIP_YN
1000,28820-4A801-T1,1,28820-4A910-3,1,1,,2021-10-14,,,,1,,2021-10-14 16:21:31,170524,2021-10-14 16:22:33,170524,,0,,,0,,1
1000,28820-4A801-T1,2,28820-4A910-4,1,1,,2021-10-14,,,,1,,2021-10-14 16:21:40,170524,2021-10-14 16:22:33,170524,,0,,,0,,1
1000,28820-4A801-T1,3,28820-4A810-B9,1,1,,2021-10-14,,,,1,,2021-10-14 16:21:50,170524,2021-10-14 16:22:33,170524,,0,,,0,,1
1000,28820-4A801-T1,4,28820-4A801-Q1,1,1,,2021-10-14,,,,1,,2021-10-14 16:22:09,170524,2021-10-14 16:22:33,170524,,0,,,0,,1
1000,28820-4A801,2,288114A001,1,1,,2021-10-14,,,,1,,2021-10-14 16:22:23,170524,2021-10-14 16:22:33,170524,,0,,,0,,1
1000,45264-3D000,1,45264-3D000-L1,1,1,,2021-10-15,,,,1,,2021-10-15 15:12:12,170524,2021-11-26 14:13:11,170524,,0,,,0,,1
1000,45264-3D000-L1,1,45264-3D000-D1,1,1,,2021-10-15,,,,1,,2021-10-15 15:12:24,170524,2021-10-15 15:17:14,170524,,0,,,0,,1
1000,45264-3D000-D1,1,45264-3D000-T1,1,1,,2021-10-15,,,,1,,2021-10-15 15:12:33,170524,2021-10-15 15:17:14,170524,,0,,,0,,1
1000,45264-3D000-T1,3,45264-3D000-B3,1,1,,2021-10-15,,,,1,,2021-10-15 15:13:26,170524,2021-11-26 14:13:11,170524,,0,,,0,,1
1000,45264-3D000-B3,1,45264-3D000-R3,1,1,,2021-10-15,,,,1,,2021-10-15 15:13:42,170524,2021-11-26 14:13:11,170524,,0,,,0,,1
1000,45264-3D000-R3,1,45264-3D000-O3,1,1,,2021-10-15,,,,1,,2021-10-15 15:13:56,170524,2021-11-26 14:13:11,170524,,0,,,0,,1
1000,45264-3D000-O3,1,45264-3D000-C3,1,1,,2021-10-15,,,,1,,2021-10-15 15:14:07,170524,2021-10-15 15:17:14,170524,,0,,,0,,1
1000,45264-3D000-O3,2,MF650005-1(24구압입용),2,2,,2021-10-15,,,,1,,2021-10-15 15:14:18,170524,2021-10-15 15:17:14,170524,,0,,,0,,1
1000,45264-3D000-T1,4,45264-3D000-B2,1,1,,2021-10-15,,,,1,,2021-10-15 15:14:36,170524,2021-11-26 14:13:11,170524,,0,,,0,,1
1000,45264-3D000-B2,1,45264-3D000-R2,1,1,,2021-10-15,,,,1,,2021-10-15 15:14:46,170524,2021-11-26 14:13:11,170524,,0,,,0,,1
1000,45264-3D000-R2,1,45264-3D000-O2,1,1,,2021-10-15,,,,1,,2021-10-15 15:15:05,170524,2021-11-26 14:13:11,170524,,0,,,0,,1
1000,45264-3D000-O2,1,45264-3D000-P2,1,1,,2021-10-15,,,,1,,2021-10-15 15:15:15,170524,2021-11-26 14:13:11,170524,,0,,,0,,1
1000,45264-3D000-P2,1,45264-3D000-C2,1,1,,2021-10-15,,,,1,,2021-10-15 15:15:26,170524,2021-10-15 15:17:14,170524,,0,,,0,,1
