proc_code,proc_name
C10,절단
P10,포밍
P10,축관
K10,코킹
O10,압입
S10,스폿
G10,알곤가접
B10,밴딩
Q10,PI`G
R10,로브레이징
T10,토치용접
D10,도금
L10,리크1
L20,리크2
J10,호스조립
A10,완성품
